Date,Open,High,Low,Close,Adj Close,Volume
2014-11-01,17390.90039,17894.83008,17278.35938,17828.24023,17828.24023,1516490000
2014-12-01,17827.26953,18103.44922,17067.58984,17823.07031,17823.07031,2216900000
2015-01-01,17823.07031,17951.7793,17136.30078,17164.94922,17164.94922,2173260000
2015-02-01,17169.99023,18244.38086,17037.75977,18132.69922,18132.69922,1751250000
2015-03-01,18134.05078,18288.63086,17579.26953,17776.11914,17776.11914,2470480000
2015-04-01,17778.51953,18175.56055,17585.00977,17840.51953,17840.51953,2174880000
2015-05-01,17859.26953,18351.35938,17733.11914,18010.67969,18010.67969,1832450000
2015-06-01,18017.82031,18188.81055,17576.5,17619.50977,17619.50977,2219240000
2015-07-01,17638.11914,18137.11914,17399.16992,17689.85938,17689.85938,2034220000
2015-08-01,17696.74023,17704.75977,15370.33008,16528.0293,16528.0293,2726340000
2015-09-01,16528.0293,16933.42969,15942.37012,16284.7002,16284.7002,2724080000
2015-10-01,16278.62012,17799.96094,16013.66016,17663.53906,17663.53906,2605470000
2015-11-01,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,2334610000
2015-12-01,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,2521440000
2016-01-01,17405.48047,17405.48047,15450.55957,16466.30078,16466.30078,2844080000
2016-02-01,16453.63086,16795.98047,15503.00977,16516.5,16516.5,2491810000
2016-03-01,16545.66992,17790.10938,16545.66992,17685.08984,17685.08984,2407750000
2016-04-01,17661.74023,18167.63086,17484.23047,17773.64063,17773.64063,2096650000
2016-05-01,17783.7793,17934.60938,17331.07031,17787.19922,17787.19922,1879010000
2016-06-01,17754.55078,18016,17063.08008,17929.99023,17929.99023,2350020000
2016-07-01,17924.24023,18622.00977,17713.44922,18432.24023,18432.24023,1816520000
2016-08-01,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,1695750000
2016-09-01,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,2101120000
2016-10-01,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,1793690000
2016-11-01,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,2107770000
2016-12-01,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,5952470000
2017-01-01,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482450000
2017-02-01,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000
2017-03-01,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000
2017-04-01,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000
2017-05-01,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000
2017-06-01,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,7214590000
2017-07-01,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,5569720000
2017-08-01,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,6150060000
2017-09-01,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,6342130000
2017-10-01,22423.4707,22685.93945,22416,22661.64063,22661.64063,743090000
